stage,dataset,seed,query_id,query_key,method,pred_orig,target_class,pred_cf,success,distance_l2,l0_changes,runtime_ms,n_leaves,n_nodes
stage1,breast_cancer,0,0,breast_cancer|0|0,treesat_exact,1,0,0,1,0.4938773487606004,1,0.13309999485500157,12,23
stage1,breast_cancer,0,0,breast_cancer|0|0,leaf_enum_bruteforce,1,0,0,1,0.4938773487606004,1,0.21589998505078256,12,23
stage1,breast_cancer,0,0,breast_cancer|0|0,nearest_neighbor,1,0,0,1,5.176319760759764,30,0.026500027161091566,12,23
stage1,breast_cancer,0,0,breast_cancer|0|0,random_search,1,0,0,1,2.037000803050226,30,0.6107999943196774,12,23
stage1,breast_cancer,0,1,breast_cancer|0|1,treesat_exact,1,0,0,1,0.21123522013801876,1,0.069500005338341,12,23
stage1,breast_cancer,0,1,breast_cancer|0|1,leaf_enum_bruteforce,1,0,0,1,0.21123522013801876,1,0.17090002074837685,12,23
stage1,breast_cancer,0,1,breast_cancer|0|1,nearest_neighbor,1,0,0,1,2.1925634879703404,30,0.016600009985268116,12,23
stage1,breast_cancer,0,1,breast_cancer|0|1,random_search,1,0,0,1,0.5488657587806861,30,0.5096999811939895,12,23
stage1,breast_cancer,0,2,breast_cancer|0|2,treesat_exact,0,1,1,1,0.05875778024951207,1,0.07100001676008105,12,23
stage1,breast_cancer,0,2,breast_cancer|0|2,leaf_enum_bruteforce,0,1,1,1,0.05875778024951207,1,0.2300000051036477,12,23
stage1,breast_cancer,0,2,breast_cancer|0|2,nearest_neighbor,0,1,1,1,1.7504924582912762,30,0.020499981474131346,12,23
stage1,breast_cancer,0,2,breast_cancer|0|2,random_search,0,1,1,1,0.20884651542514632,30,0.5037999944761395,12,23
stage1,breast_cancer,0,3,breast_cancer|0|3,treesat_exact,1,0,0,1,0.5373484614895128,2,0.06230000872164965,12,23
stage1,breast_cancer,0,3,breast_cancer|0|3,leaf_enum_bruteforce,1,0,0,1,0.5373484614895128,2,0.16759999562054873,12,23
stage1,breast_cancer,0,3,breast_cancer|0|3,nearest_neighbor,1,0,0,1,2.671726691156949,30,0.01409999094903469,12,23
stage1,breast_cancer,0,3,breast_cancer|0|3,random_search,1,0,0,1,1.1203721926011656,30,0.4650999908335507,12,23
stage1,breast_cancer,0,4,breast_cancer|0|4,treesat_exact,0,1,1,1,0.7307506032333566,1,0.06409999332390726,12,23
stage1,breast_cancer,0,4,breast_cancer|0|4,leaf_enum_bruteforce,0,1,1,1,0.7307506032333566,1,0.23689999943599105,12,23
stage1,breast_cancer,0,4,breast_cancer|0|4,nearest_neighbor,0,1,1,1,4.353497527562572,30,0.017799990018829703,12,23
stage1,breast_cancer,0,4,breast_cancer|0|4,random_search,0,1,1,1,2.358762785636335,30,0.5184000183362514,12,23
stage1,breast_cancer,0,5,breast_cancer|0|5,treesat_exact,1,0,0,1,0.336711435188462,1,0.07189999450929463,12,23
stage1,breast_cancer,0,5,breast_cancer|0|5,leaf_enum_bruteforce,1,0,0,1,0.336711435188462,1,0.17519999528303742,12,23
stage1,breast_cancer,0,5,breast_cancer|0|5,nearest_neighbor,1,0,0,1,5.663110951305887,30,0.01610000617802143,12,23
stage1,breast_cancer,0,5,breast_cancer|0|5,random_search,1,0,0,1,1.0830267283924768,30,0.46759998076595366,12,23
stage1,breast_cancer,0,6,breast_cancer|0|6,treesat_exact,1,0,0,1,0.10256883096772432,2,0.061700004152953625,12,23
stage1,breast_cancer,0,6,breast_cancer|0|6,leaf_enum_bruteforce,1,0,0,1,0.10256883096772432,2,0.17220000154338777,12,23
stage1,breast_cancer,0,6,breast_cancer|0|6,nearest_neighbor,1,0,0,1,2.306822247810047,30,0.014399993233382702,12,23
stage1,breast_cancer,0,6,breast_cancer|0|6,random_search,1,0,0,1,0.4806730224994807,30,0.47810000251047313,12,23
stage1,breast_cancer,0,7,breast_cancer|0|7,treesat_exact,0,1,1,1,0.2684882675333335,1,0.06379999103955925,12,23
stage1,breast_cancer,0,7,breast_cancer|0|7,leaf_enum_bruteforce,0,1,1,1,0.2684882675333335,1,0.2468000166118145,12,23
stage1,breast_cancer,0,7,breast_cancer|0|7,nearest_neighbor,0,1,1,1,2.9715230102363477,30,0.018999999156221747,12,23
