dataset,method,n,success_rate,median_distance,median_l0,mean_runtime_ms,median_runtime_ms
breast_cancer,leaf_enum_bruteforce,300,1.0,0.567782629256085,1.0,0.3010070009622723,0.2638500009197742
breast_cancer,nearest_neighbor,300,1.0,3.7282026359861193,30.0,0.021362333306266617,0.017650003428570926
breast_cancer,random_search,300,0.9933333333333333,1.9313190895616101,30.0,0.5807126663664045,0.48499999684281647
breast_cancer,treesat_exact,300,1.0,0.567782629256085,1.0,0.09212300006765872,0.06799999391660094
digits_0_vs_1,leaf_enum_bruteforce,300,1.0,0.4836271966921141,1.0,0.09377566806506366,0.07340000593103468
digits_0_vs_1,nearest_neighbor,300,1.0,8.550515787376797,36.0,0.02230033385179316,0.01719998545013368
digits_0_vs_1,random_search,300,0.9733333333333334,2.6018381995807296,64.0,0.7617126659412558,0.679899996612221
digits_0_vs_1,treesat_exact,300,1.0,0.4836271966921141,1.0,0.07692633264620478,0.06299998494796455
iris_binary,leaf_enum_bruteforce,225,0.8666666666666667,0.7955189480126407,1.0,0.04939866679099699,0.036299985367804766
iris_binary,nearest_neighbor,225,1.0,2.609934234865524,4.0,0.012797778084253272,0.009199982741847634
iris_binary,random_search,225,0.9911111111111112,1.074636028855164,4.0,0.3906222210369176,0.294700002996251
iris_binary,treesat_exact,225,0.8666666666666667,0.7955189480126407,1.0,0.06680266660017271,0.051499984692782164
synthetic_20,leaf_enum_bruteforce,300,1.0,0.5200694818887673,1.0,0.8194663335840838,0.6995499861659482
synthetic_20,nearest_neighbor,300,1.0,3.672119490784959,20.0,0.034755999610448875,0.027900008717551827
synthetic_20,random_search,300,1.0,1.3668186823741926,20.0,0.5305183322828574,0.4330500087235123
synthetic_20,treesat_exact,300,1.0,0.5200694818887673,1.0,0.1053676669835113,0.08079998951870948
wine_binary,leaf_enum_bruteforce,270,0.9962962962962963,1.0040523298908337,1.0,0.10450296287200656,0.07170000753831118
wine_binary,nearest_neighbor,270,1.0,3.7876013289276704,13.0,0.01521036945093699,0.011199997970834374
wine_binary,random_search,270,0.9740740740740741,2.2307364142823554,13.0,0.45299111149722227,0.36434999492485076
wine_binary,treesat_exact,270,0.9962962962962963,1.0040523298908337,1.0,0.08305407353435401,0.057600002037361264
