dataset,method,n,success_rate,median_runtime_ms,median_distance
breast_cancer,full,350,1.0,0.060999998822808266,0.5530713775141162
breast_cancer,no_cache,350,1.0,0.13744999887421727,0.5530713775141162
breast_cancer,no_order,350,1.0,0.26220000290777534,0.5530713775141162
breast_cancer,no_pruning,350,1.0,0.29830000130459666,0.5530713775141162
digits_0_vs_1,full,350,1.0,0.05230000533629209,0.6734126754011796
digits_0_vs_1,no_cache,350,1.0,0.07449998520314693,0.6734126754011796
digits_0_vs_1,no_order,350,1.0,0.08179999713320285,0.6734126754011796
digits_0_vs_1,no_pruning,350,1.0,0.09309999586548656,0.6734126754011796
iris_binary,full,225,0.8666666666666667,0.046200002543628216,0.7955189480126407
iris_binary,no_cache,225,0.8666666666666667,0.05840000812895596,0.7955189480126407
iris_binary,no_order,225,0.8666666666666667,0.03260001540184021,0.7955189480126407
iris_binary,no_pruning,225,0.8666666666666667,0.03860000288113952,0.7955189480126407
synthetic_20,full,350,1.0,0.07940000796224922,0.5980292786424896
synthetic_20,no_cache,350,1.0,0.2604000037536025,0.5980292786424896
synthetic_20,no_order,350,1.0,0.6703499821014702,0.5980292786424896
synthetic_20,no_pruning,350,1.0,0.7685999880777672,0.5980292786424896
wine_binary,full,270,0.9962962962962963,0.051449998863972723,1.0040523298908337
wine_binary,no_cache,270,0.9962962962962963,0.07940000796224922,1.0040523298908337
wine_binary,no_order,270,0.9962962962962963,0.06724998820573092,1.0040523298908337
wine_binary,no_pruning,270,0.9962962962962963,0.0779999973019585,1.0040523298908337
