depth,method,mean_runtime_ms,median_runtime_ms,n_nodes,n_leaves,n_queries
2,treesat_exact,0.05896812417631736,0.044800020987167954,7,4,160
2,leaf_enum_bruteforce,0.07824125113984337,0.06310001481324434,7,4,160
4,treesat_exact,0.06745312530256342,0.05079999391455203,31,16,160
4,leaf_enum_bruteforce,0.2632906236613053,0.24459999985992908,31,16,160
6,treesat_exact,0.12266687426745193,0.10539998766034842,111,56,160
6,leaf_enum_bruteforce,1.0258068752591498,0.8665500063216314,111,56,160
8,treesat_exact,0.10458187498443294,0.0833000085549429,225,113,160
8,leaf_enum_bruteforce,2.304502501465322,1.7580999992787838,225,113,160
10,treesat_exact,0.09860312420642003,0.09249997674487531,285,143,160
10,leaf_enum_bruteforce,2.92122499904508,2.2810999944340438,285,143,160
12,treesat_exact,0.1801806254661642,0.10955000470858067,327,164,160
12,leaf_enum_bruteforce,4.250555000180611,2.671449998160824,327,164,160
