n_features,method,mean_runtime_ms,median_runtime_ms,n_nodes,n_leaves,n_queries
5,treesat_exact,0.09248187500361382,0.0855999987834366,179,90,160
5,leaf_enum_bruteforce,1.7210724999927152,1.6035500002544723,179,90,160
10,treesat_exact,0.10077062497657607,0.07120000009308569,171,86,160
10,leaf_enum_bruteforce,1.5503556250564543,1.3354000002436806,171,86,160
20,treesat_exact,0.07416624991947174,0.06145000043034088,117,59,160
20,leaf_enum_bruteforce,1.08388312507941,0.9657499995228136,117,59,160
40,treesat_exact,0.13338625002461413,0.08660000003146706,247,124,160
40,leaf_enum_bruteforce,2.030511250006839,1.844050000727293,247,124,160
80,treesat_exact,0.10134937498378349,0.0867000007929164,229,115,160
80,leaf_enum_bruteforce,1.6864718751207874,1.6041500011851895,229,115,160
120,treesat_exact,0.09490187496794533,0.0911999995878432,249,125,160
120,leaf_enum_bruteforce,2.028050625006017,1.8462999996700091,249,125,160
